acc,yaw
<<<<<<< HEAD
13.290928,1.916199
42.114502,1.108796
29.513937,1.9148632
17.550972,2.8963966
24.023792,1.0378263
19.614912,7.4035845
21.971132,9.536743e-07
12.269226,5.0103283
11.800908,0.4725933
12.15129,2.102469
24.033665,0.0
19.051506,4.9579577
26.83652,1.153921
24.826668,0.015190363
22.528082,2.0431676
17.112162,2.5685713
17.20224,1.0202878
29.985968,9.187867
20.236753,7.116011
23.269642,1.1920929e-07
26.275541,0.4606918
20.281319,1.5176594
11.6670065,8.940697e-08
13.033108,1.6595173
13.688766,2.0694144
26.109295,7.1525574e-07
16.705582,3.2181108
14.527324,9.196128
20.495396,3.22991
28.335659,5.364418e-07
19.47722,1.7626305
15.146785,4.447367
19.254004,4.653428
29.93964,0.72134995
30.080112,2.3841858e-07
24.262928,0.035794258
23.985538,2.004259
21.30369,2.7442088
18.027878,2.6986065
33.891407,3.594905e-07
20.848042,0.7756782
22.039648,0.56543976
26.493708,1.4397066
23.971096,1.1920929e-07
16.231272,1.8513536
22.317028,0.6042527
26.111576,0.9016703
22.406675,0.8879846
14.372816,3.58599
13.141518,1.9339508
24.94115,2.172299
19.340363,4.7683716e-07
25.629744,1.2356572
17.566479,2.7332373
22.320127,3.0605001
22.20422,5.050824
14.714068,4.3565865
24.154633,0.35747945
32.86353,2.2619116
26.470945,1.1920929e-07
310.847,1.9121085
=======
0.92420024,0.0
4.00973,9.033446311950684
12.475012,1.5365939140319824
8.331594,4.76837158203125e-07
6.814866,8.493624687194824
10.720991,0.8915337920188904
8.537993,7.367342948913574
12.724562,12.303104400634766
17.576582,4.76837158203125e-07
14.405761,15.078535079956055
9.211939,6.869670391082764
10.056559,2.9944748878479004
13.966724,5.867588043212891
11.885795,1.2644718885421753
22.631693,0.6849467754364014
14.594463,0.524032711982727
9.407205,8.779587745666504
15.306595,9.5367431640625e-07
11.641322,12.470239639282227
15.024091,2.693085193634033
17.49406,1.826277732849121
27.120804,0.8058261871337891
90.50599,27.358434677124023
>>>>>>> 8d0905a (Initial commit)
